Linux 5.4.0-132-generic (ku1rpaaxv008.kunet.ae) 	01/31/23 	_x86_64_	(8 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:55:01          1      0.04      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00     99.94
12:55:01          2      0.05      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.93
12:55:01          3      0.10      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.84
12:55:01          4      2.83      0.00      0.53      0.00      0.00      0.00      0.00      0.00      0.00     96.64
12:55:01          5      1.15      0.00      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.65
12:55:01          6      0.58      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.31
12:55:01          7      0.99      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.82
13:05:01        all      0.78      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.07
13:05:01          0      0.44      0.00      0.08      0.00      0.00      0.00      0.00      0.00      0.00     99.47
13:05:01          1      0.09      0.00      0.02      0.02      0.00      0.00      0.00      0.00      0.00     99.87
13:05:01          2      0.09      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.89
13:05:01          3      0.11      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.84
13:05:01          4      2.68      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     96.82
13:05:01          5      1.18      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     98.62
13:05:01          6      0.27      0.00      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.65
13:05:01          7      1.35      0.00      0.22      0.00      0.00      0.00      0.00      0.00      0.00     98.43
13:15:01        all      0.80      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.06
13:15:01          0      0.31      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.63
13:15:01          1      0.02      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00     99.97
13:15:01          2      0.04      0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00     99.95
13:15:01          3      0.05      0.00      0.05      0.01      0.00      0.00      0.00      0.00      0.00     99.89
13:15:01          4      2.83      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     96.66
13:15:01          5      1.52      0.00      0.23      0.00      0.00      0.00      0.00      0.00      0.00     98.26
13:15:01          6      0.46      0.00      0.09      0.00      0.00      0.00      0.00      0.00      0.00     99.45
13:15:01          7      1.18      0.00      0.19      0.00      0.00      0.00      0.00      0.00      0.00     98.63
13:25:01        all      0.77      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.08
13:25:01          0      1.15      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     98.64
13:25:01          1      0.10      0.00      0.02      0.01      0.00      0.00      0.00      0.00      0.00     99.87
13:25:01          2      0.10      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.87
13:25:01          3      0.07      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.88
13:25:01          4      2.68      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     96.81
13:25:01          5      1.33      0.00      0.23      0.00      0.00      0.00      0.00      0.00      0.00     98.44
13:25:01          6      0.29      0.00      0.08      0.00      0.00      0.00      0.00      0.00      0.00     99.63
13:25:01          7      0.45      0.00      0.08      0.00      0.00      0.00      0.00      0.00      0.00     99.47
13:35:01        all      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.05
13:35:01          0      1.27      0.00      0.24      0.00      0.00      0.00      0.00      0.00      0.00     98.49
13:35:01          1      0.19      0.00      0.05      0.01      0.00      0.00      0.00      0.00      0.00     99.76
13:35:01          2      0.14      0.00      0.03      0.01      0.00      0.00      0.00      0.00      0.00     99.83
13:35:01          3      0.13      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.82
